D. execuci�;D. valor;Concepte;Import;Saldo
31/05/2021;31/05/2021;TRANSF DE FM UNLIMITED MOTORCYCLES,S.L. Nomina Mayo Marti Soler Chiva;1450;3756,79
28/05/2021;28/05/2021;COMPRA TARJETA DEBITO/CREDITO SUPER CHAT IGUALADA SL TJ*0011;-9,17;2306,79
25/05/2021;25/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,35;2315,96
25/05/2021;25/05/2021;COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011;-15,23;2316,31
25/05/2021;25/05/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-23,82;2331,54
25/05/2021;25/05/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-50;2355,36
25/05/2021;25/05/2021;RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.;-21,07;2405,36
24/05/2021;24/05/2021;TRANSF DE Ajuntament de Piera SERVEI RADIO AUTOMATITZACIO MODALITAT ST;992,62;2426,43
21/05/2021;21/05/2021;COMPRA TARJETA DEBITO/CREDITO CAPRABO 7877 TJ*0011;-4,6;1433,81
21/05/2021;21/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,35;1438,41
21/05/2021;21/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,7;1438,76
21/05/2021;21/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,7;1439,46
21/05/2021;21/05/2021;COMPRA TARJETA DEBITO/CREDITO HIPER XINA TJ*0011;-5,64;1440,16
21/05/2021;21/05/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-69,4;1445,8
21/05/2021;21/05/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-34,04;1515,2
20/05/2021;20/05/2021;COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011;-57,25;1549,24
19/05/2021;19/05/2021;COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011;-15,08;1606,49
19/05/2021;19/05/2021;RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.;-47,32;1621,57
19/05/2021;19/05/2021;RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.;-55,96;1668,89
19/05/2021;19/05/2021;RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.;-63,64;1724,85
18/05/2021;18/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-1;1788,49
14/05/2021;14/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,75;1789,49
14/05/2021;14/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-2,12;1790,24
13/05/2021;13/05/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-5,49;1792,36
13/05/2021;13/05/2021;COMPRA TARJETA DEBITO/CREDITO TALLERS PIERA SCP TJ*0011;-650,25;1797,85
12/05/2021;12/05/2021;RECIBO SIMYO;-10;2448,1
12/05/2021;12/05/2021;RECIBO SIMYO;-11,94;2458,1
12/05/2021;12/05/2021;TRANSF DE ANNA XIVA SOLER ANNA;137;2470,04
11/05/2021;11/05/2021;COMPRA TARJETA DEBITO/CREDITO JENINA FERRUS BELLES TJ*0011;-23;2333,04
11/05/2021;11/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,85;2356,04
11/05/2021;11/05/2021;COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011;-24,11;2356,89
11/05/2021;11/05/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-18,4;2381
11/05/2021;11/05/2021;RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.;-70,96;2399,4
10/05/2021;10/05/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-4,5;2470,36
10/05/2021;10/05/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-21,98;2474,86
10/05/2021;07/05/2021;COMPRA TARJETA DEBITO/CREDITO DNH*GO DADDY EUROPE EUR TJ*5783;-69,99;2496,84
10/05/2021;10/05/2021;TRANSF DE Ajuntament de Capellades Diversos conceptes;1317,8;2566,83
08/05/2021;08/05/2021;COMPRA TARJETA DEBITO/CREDITO ALDI IGUALADA TJ*0011;-24,93;1249,03
08/05/2021;08/05/2021;COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011;-2,81;1273,96
08/05/2021;08/05/2021;COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011;-39,54;1276,77
07/05/2021;07/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,7;1316,31
07/05/2021;07/05/2021;COMPRA TARJETA DEBITO/CREDITO AGRO IGUALADA S C C L TJ*0011;-24,58;1317,01
07/05/2021;07/05/2021;RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN;-37,23;1341,59
05/05/2021;05/05/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,45;1378,82
05/05/2021;05/05/2021;COMPRA TARJETA DEBITO/CREDITO LA PANERA DEL PA IGUALADA TJ*0011;-6,55;1379,27
05/05/2021;05/05/2021;COMPRA TARJETA DEBITO/CREDITO CAL PASSANALS TJ*0011;-26,76;1385,82
05/05/2021;05/05/2021;RECIBO IGUANA COMUNICACIONS S.L.;-34;1412,58
04/05/2021;04/05/2021;COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011;-70,81;1446,58
03/05/2021;03/05/2021;RECIBO OALGT-ORPI;-58,93;1517,39
03/05/2021;03/05/2021;RECIBO OALGT-ORPI;-58,93;1576,32
